Path,power_state_value,current_rise/fall_time_value (mS),current_stabilised_value (mA),current_max/min_value (mA)
ON_1_20181031_173504_104.BMP,1,89.99,150.0,405.9922
ON_3_20181031_173800_104.BMP,1,89.95,140.0,405.9922
ON_1_20181102_084600_103.BMP,1,56.65,169.8,405.9922
ON_3_20181102_084856_103.BMP,1,36.97,166.3,405.9922
ON_1_20181102_085847_102.BMP,1,37.04,170.0,401.3125
ON_3_20181102_090149_102.BMP,1,36.97,165.6,401.3125
ON_1_20181031_163301_105.BMP,1,0.08963,0.14,0.4013125
ON_3_20181031_163555_105.BMP,1,0.089,0.14,0.4013125
ON_1_20190507_200536_023.BMP,1,49.7,155.0,630.7813
ON_3_20190507_200905_023.BMP,1,49.5,150.0,624.5469
ON_5_20190507_201233_023.BMP,1,51.42,150.0,648.7813
ON_7_20190507_201625_023.BMP,1,49.3,145.0,607.4063
ON_9_20190507_201951_023.BMP,1,48.95,145.0,606.0
ON_11_20190507_202318_023.BMP,1,51.42,145.0,625.6719
ON_1_20181214_194019_015.BMP,1,51.9,140.1,589.8125
ON_3_20181214_194327_015.BMP,1,51.55,140.0,569.875
ON_1_20181207_093147_012.BMP,1,52.19,130.0,626.3907
ON_3_20181207_093453_012.BMP,1,51.88,120.0,610.4219
ON_1_20181102_094014_079.BMP,1,37.15,170.0,401.3125
ON_3_20181102_094554_079.BMP,1,36.99,170.0,401.3125
ON_5_20181102_095000_079.BMP,1,36.86,170.0,401.3125
ON_7_20181102_095418_079.BMP,1,37.12,166.4,401.3125
ON_9_20181102_095709_079.BMP,1,36.78,168.9,401.3125
ON_11_20181102_100033_079.BMP,1,36.82,166.0,401.3125
ON_1_20181214_113209_046.BMP,1,50.34,-200.0,203.0313
ON_3_20181214_113523_046.BMP,1,50.01,-200.0,182.6875
ON_1_20181123_181943_041.BMP,1,66.84,129.9,590.7188
ON_3_20181123_182229_041.BMP,1,66.67,129.6,583.5625
ON_5_20181123_182515_041.BMP,1,52.33,127.9,583.375
ON_7_20181123_182820_041.BMP,1,46.94,120.0,562.6719
ON_9_20181123_183106_041.BMP,1,47.46,120.0,563.5313
ON_11_20181123_183353_041.BMP,1,65.97,120.0,563.0469
ON_1_20181207_094927_048.BMP,1,74.8,69.4,606.0
ON_3_20181207_095241_048.BMP,1,52.0,60.0,585.375
ON_1_20181102_152156_077.BMP,1,37.1,150.0,401.3125
ON_3_20181102_152424_077.BMP,1,36.98,150.0,401.3125
ON_5_20181102_152652_077.BMP,1,36.9,150.0,401.3125
ON_7_20181102_152935_077.BMP,1,55.79,150.0,401.3125
ON_9_20181102_153203_077.BMP,1,55.67,150.0,401.3125
ON_11_20181102_153431_077.BMP,1,55.53,150.0,401.3125
ON_1_20190524_135310_083.BMP,1,44.41,145.0,582.6563
ON_3_20190524_135633_083.BMP,1,46.18,145.0,588.1563
ON_5_20190524_135956_083.BMP,1,51.2,140.0,589.5938
ON_7_20190524_140343_083.BMP,1,44.46,140.0,572.5625
ON_9_20190524_140706_083.BMP,1,46.29,140.0,578.125
ON_11_20190524_141030_083.BMP,1,51.33,140.0,576.2188
ON_1_20190524_133151_084.BMP,1,45.33,140.0,557.3907
ON_3_20190524_133514_084.BMP,1,46.16,140.0,562.5625
ON_5_20190524_133837_084.BMP,1,51.19,130.0,564.2657
ON_7_20190524_134225_084.BMP,1,44.16,140.0,565.6719
ON_9_20190524_134548_084.BMP,1,46.29,135.0,567.7813
ON_11_20190524_134911_084.BMP,1,51.33,135.0,566.4063
ON_1_20181129_183910_070.BMP,1,52.45,190.0,651.2344
ON_3_20181129_184152_070.BMP,1,52.27,190.0,651.8438
ON_5_20181129_184434_070.BMP,1,52.37,189.3,646.4219
ON_7_20181129_184735_070.BMP,1,52.15,180.0,627.0157
ON_9_20181129_185017_070.BMP,1,51.97,180.0,629.3282
ON_11_20181129_185259_070.BMP,1,52.26,180.0,628.5938
ON_1_20181205_084136_013.BMP,1,49.36,120.0,472.9688
ON_3_20181205_084451_013.BMP,1,49.17,120.0,456.6563
ON_1_20181125_175944_014.BMP,1,51.08,120.0,656.3438
ON_3_20181125_180255_014.BMP,1,50.75,120.0,637.3125
ON_1_20190509_172117_022.BMP,1,47.91,165.0,621.5625
ON_3_20190509_172445_022.BMP,1,47.31,155.0,683.9532
ON_5_20190509_172813_022.BMP,1,51.22,140.0,669.3282
ON_7_20190509_173204_022.BMP,1,47.1,125.0,572.7344
ON_9_20190509_173532_022.BMP,1,46.81,115.0,639.6875
ON_11_20190509_173900_022.BMP,1,51.2,110.0,638.4063
ON_1_20190429_185829_025.BMP,1,47.3,180.0,660.5313
ON_3_20190429_190149_025.BMP,1,47.09,180.0,733.2813
ON_5_20190429_190509_025.BMP,1,51.21,180.0,732.4063
ON_7_20190429_190851_025.BMP,1,47.01,175.0,638.0157
ON_9_20190429_191211_025.BMP,1,46.81,175.0,711.4688
ON_11_20190429_191531_025.BMP,1,47.55,175.0,712.8282
ON_1_20181117_150827_071.BMP,1,37.07,160.0,401.3125
ON_3_20181117_151104_071.BMP,1,36.92,160.5,401.3125
ON_5_20181117_151342_071.BMP,1,36.85,160.8,401.3125
ON_7_20181117_151638_071.BMP,1,36.95,160.0,401.3125
ON_9_20181117_151915_071.BMP,1,56.48,160.0,401.3125
ON_11_20181117_152152_071.BMP,1,56.63,160.0,401.3125
ON_1_20190523_142712_085.BMP,1,44.32,160.0,599.1719
