Path,power_state_value,current_rise/fall_time_value (mS),current_stabilised_value (mA),current_max/min_value (mA)
OFF_2_20181031_173628_104.BMP,0,7.992,30.0,-56.0
OFF_4_20181031_173921_104.BMP,0,7.997,30.0,-58.0
OFF_2_20181102_084723_103.BMP,0,8.0,56.4,-32.0
OFF_4_20181102_085018_103.BMP,0,8.0,58.0,-28.0
OFF_2_20181102_090016_102.BMP,0,4.377,55.1,-26.4219
OFF_4_20181102_090312_102.BMP,0,8.0,57.9,-23.8047
OFF_2_20181031_163423_105.BMP,0,0.007704,0.03,-0.0549297
OFF_4_20181031_164012_105.BMP,0,0.007997,0.02,-0.0688594
OFF_2_20190507_200720_023.BMP,0,1.26,0.0,-36.9063
OFF_4_20190507_201049_023.BMP,0,1.088,0.0,-39.2578
OFF_6_20190507_201417_023.BMP,0,0.987,-5.0,-40.9297
OFF_8_20190507_201809_023.BMP,0,1.259,-5.0,-39.9766
OFF_10_20190507_202134_023.BMP,0,1.088,0.0,-39.3672
OFF_12_20190507_202502_023.BMP,0,7.734,-10.0,-41.7813
OFF_2_20181214_194147_015.BMP,0,1.335,0.0,-30.0469
OFF_4_20181214_194455_015.BMP,0,1.333,0.0,-27.8281
OFF_2_20181207_093313_012.BMP,0,1.189,0.0,12.2813
OFF_4_20181207_093620_012.BMP,0,1.317,0.0,7.0469
OFF_2_20181102_094429_079.BMP,0,4.627,54.7,-24.8047
OFF_4_20181102_094835_079.BMP,0,7.979,57.8,-24.9219
OFF_6_20181102_095146_079.BMP,0,7.999,59.3,-23.7813
OFF_8_20181102_095541_079.BMP,0,6.868,60.0,-23.2578
OFF_10_20181102_095838_079.BMP,0,7.901,59.9,-23.0938
OFF_12_20181102_100155_079.BMP,0,7.999,59.1,-23.4219
OFF_2_20181214_113339_046.BMP,0,-1.906,-250.0,-251.9297
OFF_4_20181214_113653_046.BMP,0,-1.906,-250.0,-251.9297
OFF_2_20181123_182105_041.BMP,0,8.0,-16.7,-52.1875
OFF_4_20181123_182352_041.BMP,0,8.0,-15.3,-52.4297
OFF_6_20181123_182638_041.BMP,0,8.0,-17.3,-52.5469
OFF_8_20181123_182943_041.BMP,0,7.994,-19.4,-51.2109
OFF_10_20181123_183229_041.BMP,0,7.985,-19.6,-52.5938
OFF_12_20181123_183516_041.BMP,0,7.85,-20.0,-51.8359
OFF_2_20181207_095058_048.BMP,0,1.151,-60.0,-91.9688
OFF_4_20181207_095409_048.BMP,0,1.134,-70.0,-95.7109
OFF_2_20181102_152310_077.BMP,0,8.0,39.4,-42.9219
OFF_4_20181102_152538_077.BMP,0,7.83,40.0,-42.0859
OFF_6_20181102_152806_077.BMP,0,7.997,38.5,-42.9609
OFF_8_20181102_153049_077.BMP,0,7.768,40.0,-41.7969
OFF_10_20181102_153317_077.BMP,0,4.59,40.0,-40.9453
OFF_12_20181102_153545_077.BMP,0,4.449,40.0,-40.8906
OFF_2_20190524_135451_083.BMP,0,1.455,0.0,-32.6797
OFF_4_20190524_135814_083.BMP,0,1.243,0.0,-33.8828
OFF_6_20190524_140138_083.BMP,0,1.109,0.0,-33.7734
OFF_8_20190524_140525_083.BMP,0,1.416,0.0,-32.2109
OFF_10_20190524_140848_083.BMP,0,1.25,0.0,-31.7656
OFF_12_20190524_141211_083.BMP,0,1.151,0.0,-32.9922
OFF_2_20190524_133333_084.BMP,0,1.262,0.0,-35.7031
OFF_4_20190524_133656_084.BMP,0,1.114,-5.0,-43.4453
OFF_6_20190524_134019_084.BMP,0,0.978,-10.0,-47.9141
OFF_8_20190524_134406_084.BMP,0,1.294,0.0,-34.6328
OFF_10_20190524_134730_084.BMP,0,1.09,0.0,-36.4219
OFF_12_20190524_135053_084.BMP,0,0.989,0.0,-38.1875
OFF_2_20181129_184031_070.BMP,0,1.345,60.0,29.5703
OFF_4_20181129_184313_070.BMP,0,1.189,60.0,26.7656
OFF_6_20181129_184555_070.BMP,0,1.072,60.0,23.8906
OFF_8_20181129_184856_070.BMP,0,1.356,58.5,24.7813
OFF_10_20181129_185138_070.BMP,0,1.199,57.3,23.6875
OFF_12_20181129_185420_070.BMP,0,1.072,55.2,23.7656
OFF_2_20181205_084307_013.BMP,0,1.235,0.0,-36.6719
OFF_4_20181205_084622_013.BMP,0,1.236,0.0,-28.1328
OFF_2_20181125_180113_014.BMP,0,1.292,0.0,-33.1719
OFF_4_20181125_180425_014.BMP,0,1.295,0.0,-31.6172
OFF_2_20190509_172301_022.BMP,0,1.311,20.0,-24.5547
OFF_4_20190509_172629_022.BMP,0,1.12,0.0,-37.4531
OFF_6_20190509_172957_022.BMP,0,1.006,-10.0,-51.4141
OFF_8_20190509_173348_022.BMP,0,1.334,-15.0,-59.4531
OFF_10_20190509_173716_022.BMP,0,1.142,-20.0,-65.8281
OFF_12_20190509_174044_022.BMP,0,1.009,-30.0,-71.5156
OFF_2_20190429_190009_025.BMP,0,1.328,25.0,-12.6094
OFF_4_20190429_190329_025.BMP,0,1.147,25.0,-13.8125
OFF_6_20190429_190649_025.BMP,0,7.889,20.0,-13.8516
OFF_8_20190429_191031_025.BMP,0,7.811,20.0,-12.3125
OFF_10_20190429_191351_025.BMP,0,6.99,20.0,-12.9766
OFF_12_20190429_191711_025.BMP,0,3.378,20.0,-12.7578
OFF_2_20181117_150946_071.BMP,0,4.817,50.0,-30.5469
OFF_4_20181117_151223_071.BMP,0,4.595,50.0,-30.1172
OFF_6_20181117_151500_071.BMP,0,6.533,50.0,-31.0156
OFF_8_20181117_151756_071.BMP,0,5.181,50.0,-32.25
OFF_10_20181117_152033_071.BMP,0,4.675,50.0,-30.0234
OFF_12_20181117_152310_071.BMP,0,4.561,50.0,-31.0391
OFF_2_20190523_142857_085.BMP,0,1.275,15.0,-21.2109
OFF_4_20190523_143225_085.BMP,0,1.232,10.0,-23.8906
OFF_6_20190523_143554_085.BMP,0,0.986,10.0,-27.9297
OFF_8_20190523_143949_085.BMP,0,1.278,0.0,-33.7422
OFF_10_20190523_144317_085.BMP,0,1.091,0.0,-35.3438
OFF_12_20190523_144642_085.BMP,0,0.973,0.0,-35.3047
OFF_2_20181207_032849_049.BMP,0,1.13,-60.0,-89.8672
OFF_4_20181207_033159_049.BMP,0,1.126,-60.0,-87.7891
OFF_2_20181105_180026_082.BMP,0,4.688,30.0,-49.0547
OFF_4_20181105_180250_082.BMP,0,4.47,30.0,-49.6875
OFF_6_20181105_180514_082.BMP,0,4.339,30.0,-48.2266
OFF_8_20181105_180753_082.BMP,0,4.602,30.0,-48.0
OFF_10_20181105_181017_082.BMP,0,4.421,30.0,-47.4063
OFF_12_20181105_181241_082.BMP,0,4.312,30.0,-48.6484
OFF_2_20181110_104247_076.BMP,0,4.638,70.0,-5.8516
OFF_4_20181110_104525_076.BMP,0,4.435,70.0,-5.1641
OFF_6_20181110_104803_076.BMP,0,4.348,70.0,-7.375
OFF_8_20181110_105052_076.BMP,0,4.579,70.0,-5.8672
OFF_10_20181110_105325_076.BMP,0,6.804,70.0,-5.2031
OFF_12_20181110_105559_076.BMP,0,5.626,70.0,-5.875
OFF_2_20181123_204611_040.BMP,0,1.407,-10.0,-49.3359
OFF_4_20181123_204853_040.BMP,0,4.138,-10.0,-49.8047
OFF_6_20181123_205134_040.BMP,0,7.68,-10.0,-50.3359
OFF_8_20181123_205434_040.BMP,0,7.944,-10.1,-49.1406
OFF_10_20181123_205716_040.BMP,0,8.0,-11.9,-51.4063
OFF_12_20181123_205957_040.BMP,0,7.985,-11.3,-51.1016
OFF_2_20181102_125650_078.BMP,0,4.807,50.0,-31.3359
